rank,title,artist,genre
1,God's Plan,Drake,Hip-Hop
2,Nice For What,Drake,Hip-Hop
3,rockstar (feat. 21 Savage),Post Malone,Hip-Hop
4,In My Feelings,Drake,Hip-Hop
5,Psycho (feat. Ty Dolla $ign),Post Malone,pop
6,I Like It,Cardi B,Hip-Hop
7,SAD!,XXXTENTACION,pop
8,Havana (feat. Young Thug),Camila Cabello,pop
9,Look Alive (feat. Drake),BlocBoy JB,Hip-Hop
10,Ric Flair Drip,Offset,Hip-Hop
11,Yes Indeed,Lil Baby,Hip-Hop
12,I Fall Apart,Post Malone,Hip-Hop
13,Lucid Dreams,Juice WRLD,pop
14,Better Now,Post Malone,Hip-Hop
15,MotorSport,Migos,Hip-Hop
16,Mine,Bazzi,rnb
17,Nonstop,Drake,Hip-Hop
18,All The Stars,Kendrick Lamar,rnb
19,Meant to Be,Bebe Rexha,country
20,no tears left to cry,Ariana Grande,pop
21,Walk It Talk It (feat. Drake),Migos,Hip-Hop
22,SICKO MODE,Travis Scott,Hip-Hop
23,The Middle,Zedd,edm
24,No Limit (feat. A$AP Rocky & Cardi B),G-Eazy,Hip-Hop
25,Moonlight,XXXTENTACION,pop
26,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Hip-Hop
27,One Kiss,Calvin Harris,edm
28,Perfect,Ed Sheeran,pop
29,Bodak Yellow,Cardi B,Hip-Hop
30,New Rules,Dua Lipa,edm
31,Taste (feat. Offset),Tyga,Hip-Hop
32,Bartier Cardi (feat. 21 Savage),Cardi B,Hip-Hop
33,Stir Fry,Migos,Hip-Hop
34,Girls Like You (feat. Cardi B),Maroon 5,pop
35,Finesse (Remix) [feat. Cardi B],Bruno Mars,soul
36,Call Out My Name,The Weeknd,rnb
37,Shape of You,Ed Sheeran,pop
38,Love Lies,Khalid,soul
39,I'm Upset,Drake,Hip-Hop
40,Let You Down,NF,Hip-Hop
41,Never Be the Same,Camila Cabello,pop
42,Fuck Love,XXXTENTACION,rnb
43,Jocelyn Flores,XXXTENTACION,Hip-Hop
44,Silence (feat. Khalid),Marshmello,edm
45,Thunder,Imagine Dragons,rock
46,Plug Walk,Rich The Kid,Hip-Hop
47,Young Dumb & Broke,Khalid,rnb
48,Wolves,Selena Gomez,pop
49,FRIENDS,Marshmello,edm
50,Freaky Friday (feat. Chris Brown),Lil Dicky,Hip-Hop
51,Too Good at Goodbyes,Sam Smith,pop
52,Unforgettable (feat. Swae Lee),French Montana,Hip-Hop
53,changes,XXXTENTACION,rnb
54,Candy Paint,Post Malone,Hip-Hop
55,Boo'd Up,Ella Mai,rnb
56,Ball For Me (feat. Nicki Minaj),Post Malone,Hip-Hop
57,Roll in Peace (feat. XXXTENTACION),Kodak Black,Hip-Hop
58,Gucci Gang,Lil Pump,Hip-Hop
59,Be Careful,Cardi B,Hip-Hop
60,Congratulations (feat. Quavo),Post Malone,Hip-Hop
61,BUTTERFLY EFFECT,Travis Scott,Hip-Hop
62,Mob Ties,Drake,Hip-Hop
63,Him & I,G-Eazy,Hip-Hop
64,IDGAF,Dua Lipa,Hip-Hop
65,King's Dead,Jay Rock,Hip-Hop
66,Let Me Go (feat. Florida Georgia Line & watt),Hailee Steinfeld,edm
67,Pray For Me,The Weeknd,rnb
68,LOVE. (feat. Zacari),Kendrick Lamar,Hip-Hop
69,XO TOUR Llif3,Lil Uzi Vert,pop
70,I Get the Bag (feat. Migos),Gucci Mane,Hip-Hop
71,This Is Me,Keala Settle,pop
72,Believer,Imagine Dragons,rock
73,River (feat. Ed Sheeran),Eminem,Hip-Hop
74,Despacito (feat. Justin Bieber) [Remix],Luis Fonsi,pop
75,HUMBLE.,Kendrick Lamar,Hip-Hop
76,KOD,J. Cole,Hip-Hop
77,God is a woman,Ariana Grande,pop
78,Outside Today,YoungBoy Never Broke Again,Hip-Hop
79,Sky Walker (feat. Travis Scott),Miguel,rnb
80,These Days (feat. Jess Glynne. Macklemore & Dan Caplen),Rudimental,pop
81,Youngblood,5 Seconds of Summer,rock
82,Whatever It Takes,Imagine Dragons,rock
83,1-800-273-8255 (feat. Alessia Cara & Khalid),Logic & alessia cara,pop
84,Perfect Duet (with Beyoncé),Ed Sheeran,pop
85,All Mine,Kanye West,pop
86,Don’t Matter To Me,Drake,rnb
87,In My Blood,Shawn Mendes,pop
88,Bank Account,21 Savage,Hip-Hop
89,What Lovers Do (feat. SZA),Maroon 5,pop
90,PICK IT UP (feat. A$AP Rocky),Famous Dex,Hip-Hop
91,Rich & Sad,Post Malone,Hip-Hop
92,Back To You,Selena Gomez,pop
93,New Freezer (feat. Kendrick Lamar),Rich The Kid,Hip-Hop
94,Chun-Li,Nicki Minaj,Hip-Hop
95,BIG BANK (feat. 2 Chainz. Big Sean & Nicki Minaj),YG,Hip-Hop
96,Bad at Love,Halsey,pop
97,Dusk Till Dawn (feat. Sia),ZAYN,pop
98,Eastside,benny blanco,pop
99,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Hip-Hop
100,Red Roses (feat. Landon Cube),Lil Skies,Hip-Hop
