rank,title,artist,genre
1,Shape of You,Ed Sheeran,pop
2,Despacito (feat. Justin Bieber) [Remix],Luis Fonsi,Hip-Hop
3,That's What I Like,Bruno Mars,Hip-Hop
4,HUMBLE.,Kendrick Lamar,Hip-Hop
5,Body Like a Back Road,Sam Hunt,country
6,Bad and Boujee (feat. Lil Uzi Vert),Migos,Hip-Hop
7,24K Magic,Bruno Mars,rnb
8,I'm the One (feat. Justin Bieber. Quavo. Chance the Rapper & Lil Wayne),DJ Khaled,Hip-Hop
9,Congratulations (feat. Quavo),Post Malone,Hip-Hop
10,Black Beatles (feat. Gucci Mane),Rae Sremmurd,Hip-Hop
11,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,pop
12,Starboy (feat. Daft Punk),The Weeknd,rnb
13,Fake Love,Drake,rnb
14,Say You Won't Let Go,James Arthur,pop
15,Believer,Imagine Dragons,rock
16,Mask Off,Future,Hip-Hop
17,Something Just Like This,The Chainsmokers,edm
18,XO TOUR Llif3,Lil Uzi Vert,Hip-Hop
19,iSpy (feat. Lil Yachty),KYLE,Hip-Hop
20,Closer (feat. Halsey),The Chainsmokers,edm
21,Issues,Julia Michaels,pop
22,I Feel It Coming (feat. Daft Punk),The Weeknd,pop
23,Unforgettable (feat. Swae Lee),French Montana,Hip-Hop
24,Redbone,Childish Gambino,Soul
25,Bounce Back,Big Sean,Hip-Hop
26,Location,Khalid,Hip-Hop
27,Stay,Zedd,edm
28,Bad Things,mgk,pop
29,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,pop
30,Castle on the Hill,Ed Sheeran,pop
31,Love on the Brain,Rihanna,pop
32,It Ain't Me,Kygo,edm
33,Mercy,Shawn Mendes,pop
34,Caroline,Aminé,Hip-Hop
35,DNA.,Kendrick Lamar,Hip-Hop
36,goosebumps,Travis Scott,Hip-Hop
37,Slow Hands,Niall Horan,pop
38,Million Reasons,Lady Gaga,country
39,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,pop
40,All Time Low,Jon Bellion,pop
41,CAN'T STOP THE FEELING!,Justin Timberlake,soul
42,Passionfruit,Drake,Hip-Hop
43,There's Nothing Holdin' Me Back,Shawn Mendes,pop
44,Attention,Charlie Puth,pop
45,Paris,The Chainsmokers,edm
46,Tunnel Vision,Kodak Black,Hip-Hop
47,Slide (feat. Frank Ocean & Migos),Calvin Harris,edm
48,T-Shirt,Migos,Hip-Hop
49,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,edm
50,Broccoli (feat. Lil Yachty),DRAM,Hip-Hop
51,In Case You Didn't Know,Brett Young,country
52,Bodak Yellow,Cardi B,Hip-Hop
53,LOVE. (feat. Zacari),Kendrick Lamar,Hip-Hop
54,Side To Side (feat. Nicki Minaj),Ariana Grande,pop
55,Both (feat. Drake),Gucci Mane,Hip-Hop
56,Blue Ain't Your Color,Keith Urban,country
57,How Far I'll Go,Auli'i Cravalho,pop
58,Portland (feat. Quavo & Travis Scott),Drake,Hip-Hop
59,Let Me Love You (feat. Justin Bieber),DJ Snake,edm
60,Strip That Down (feat. Quavo),Liam Payne,pop
61,Look What You Made Me Do,Taylor Swift,pop
62,Slippery (feat. Gucci Mane),Migos,Hip-Hop
63,Despacito,Luis Fonsi,latin
64,1-800-273-8255 (feat. Alessia Cara & Khalid),Logic & alessia cara,pop
65,Heathens,twenty one pilots,rock
66,Swang,Rae Sremmurd,Hip-Hop
67,Sign of the Times,Harry Styles,rock
68,Play That Song,Train,pop
69,This Town,Niall Horan,folk
70,Scars to Your Beautiful,Alessia Cara,pop
71,Better Man,Little Big Town,country
72,LOYALTY. (feat. Rihanna),Kendrick Lamar,Hip-Hop
73,Now or Never,Halsey,pop
74,The Fighter (feat. Carrie Underwood),Keith Urban,country
75,Rolex,Ayo & Teo,Hip-Hop
76,Magnolia,Playboi Carti,Hip-Hop
77,Dirt on My Boots,Jon Pardi,country
78,Starving (feat. Zedd),Hailee Steinfeld,edm
79,Hurricane,Luke Combs,country
80,Malibu,Miley Cyrus,rock
81,Down,Marian Hill,rnb
82,Chained to the Rhythm (feat. Lil Yachty),Katy Perry,pop
83,Juju On That Beat,Zayion McCall,Hip-Hop
84,X (feat. Future),21 Savage,Hip-Hop
85,Bank Account,21 Savage,Hip-Hop
86,Drowning (feat. Kodak Black),A Boogie wit da Hoodie,Hip-Hop
87,Thunder,Imagine Dragons,rock
88,Cold (feat. Future),Maroon 5,edm
89,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,edm
90,Sorry Not Sorry,Demi Lovato,pop
91,Party Monster,The Weeknd,rnb
92,Gyalchester,Drake,Hip-Hop
93,HandClap,Fitz and The Tantrums,soul
94,Deja Vu,J. Cole,Hip-Hop
95,Feel It Still,Portugal. The Man,rock
96,Love Galore (feat. Travis Scott),SZA,rnb
97,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,Hip-Hop
98,Heavy (feat. Kiiara),LINKIN PARK,rock
99,Sneakin' (feat. 21 Savage),Drake,Hip-Hop
100,Praying,Kesha,soul
